	Sujeto	canal	media	mediana	dataset	etapa	Q99	Q1
39	sub-005	EEG Pz-Oz	0.12222340425531918	0.1145	SleepCasset	N1	0.1605	0.08575
40	sub-006	EEG Fpz-Cz	0.01653145336225597	0.015	SleepCasset	N2	0.02	0.012
41	sub-006	EEG Fpz-Cz	0.006	0.006	SleepCasset	W	0.009	0.004
42	sub-006	EEG Fpz-Cz	0.025279069767441865	0.025	SleepCasset	R	0.03125	0.01675
43	sub-006	EEG Fpz-Cz	0.08639130434782609	0.081	SleepCasset	N1	0.10325	0.06
44	sub-006	EEG Pz-Oz	0.022266811279826465	0.017	SleepCasset	N2	0.024	0.013
45	sub-006	EEG Pz-Oz	0.059	0.059	SleepCasset	W	0.082	0.036
46	sub-006	EEG Pz-Oz	0.04884302325581395	0.044	SleepCasset	R	0.05725	0.034
47	sub-006	EEG Pz-Oz	0.07217391304347827	0.07	SleepCasset	N1	0.08925	0.053
48	sub-007	EEG Fpz-Cz	0.03810695187165775	0.034	SleepCasset	N2	0.047	0.026
49	sub-007	EEG Fpz-Cz	0.029	0.029	SleepCasset	W	0.039	0.022
50	sub-007	EEG Fpz-Cz	0.06137327188940092	0.056	SleepCasset	R	0.072	0.044
51	sub-007	EEG Fpz-Cz	0.13121311475409836	0.13	SleepCasset	N1	0.165	0.084
52	sub-007	EEG Pz-Oz	0.06605882352941177	0.058	SleepCasset	N2	0.071	0.045
53	sub-007	EEG Pz-Oz	0.138	0.138	SleepCasset	W	0.162	0.115
54	sub-007	EEG Pz-Oz	0.1616451612903226	0.147	SleepCasset	R	0.186	0.108
55	sub-007	EEG Pz-Oz	0.19326229508196718	0.18	SleepCasset	N1	0.251	0.134
56	sub-008	EEG Fpz-Cz	0.044647887323943654	0.041	SleepCasset	N2	0.057	0.03
57	sub-008	EEG Fpz-Cz	0.025	0.025	SleepCasset	W	0.034	0.019
58	sub-008	EEG Fpz-Cz	0.06749528301886792	0.062	SleepCasset	R	0.08125	0.048
59	sub-008	EEG Fpz-Cz	0.15746666666666664	0.167	SleepCasset	N1	0.201	0.111
60	sub-008	EEG Pz-Oz	0.07224788732394366	0.061	SleepCasset	N2	0.0785	0.05
61	sub-008	EEG Pz-Oz	0.139	0.139	SleepCasset	W	0.165	0.116
62	sub-008	EEG Pz-Oz	0.17475000000000002	0.147	SleepCasset	R	0.22225	0.11375
63	sub-008	EEG Pz-Oz	0.22286666666666663	0.222	SleepCasset	N1	0.294	0.182
64	sub-009	EEG Fpz-Cz	0.07177681660899653	0.07	SleepCasset	N2	0.085	0.056
65	sub-009	EEG Fpz-Cz	0.018	0.018	SleepCasset	W	0.022	0.014
66	sub-009	EEG Fpz-Cz	0.06736796536796537	0.059	SleepCasset	R	0.0885	0.041
67	sub-009	EEG Fpz-Cz	0.16331927710843372	0.161	SleepCasset	N1	0.19375	0.1355
68	sub-009	EEG Pz-Oz	0.06924567474048443	0.067	SleepCasset	N2	0.07975	0.05525
69	sub-009	EEG Pz-Oz	0.093	0.093	SleepCasset	W	0.10975	0.076
70	sub-009	EEG Pz-Oz	0.10903463203463203	0.099	SleepCasset	R	0.1305	0.0815
71	sub-009	EEG Pz-Oz	0.19506626506024097	0.2105	SleepCasset	N1	0.24475	0.148
72	sub-010	EEG Fpz-Cz	0.0694507042253521	0.067	SleepCasset	N2	0.083	0.054
73	sub-010	EEG Fpz-Cz	0.02	0.02	SleepCasset	W	0.025	0.017
74	sub-010	EEG Fpz-Cz	0.062349264705882354	0.056	SleepCasset	R	0.081	0.034
75	sub-010	EEG Fpz-Cz	0.14637226277372264	0.143	SleepCasset	N1	0.178	0.111
76	sub-010	EEG Pz-Oz	0.072579476861167	0.072	SleepCasset	N2	0.084	0.059
77	sub-010	EEG Pz-Oz	0.105	0.105	SleepCasset	W	0.12	0.089
78	sub-010	EEG Pz-Oz	0.11321691176470589	0.1075	SleepCasset	R	0.133	0.088
79	sub-010	EEG Pz-Oz	0.17583941605839412	0.183	SleepCasset	N1	0.242	0.121
80	sub-001	F3_O1	0.07603743315508021	0.066	DODH	N2	0.10175	0.038
81	sub-001	F3_O1	0.243	0.243	DODH	W	0.338	0.142
82	sub-001	F3_O1	0.09736170212765959	0.099	DODH	R	0.122	0.07225
83	sub-001	F3_O1	0.218	0.216	DODH	N1	0.2755	0.175
84	sub-001	F3_M2	0.06175401069518716	0.054	DODH	N2	0.081	0.034
85	sub-001	F3_M2	0.107	0.107	DODH	W	0.1955	0.028
86	sub-001	F3_M2	0.04037234042553192	0.0395	DODH	R	0.061	0.01275
87	sub-001	F3_M2	0.1524626865671642	0.152	DODH	N1	0.2045	0.11699999999999999
88	sub-001	F4_M1	0.06682352941176471	0.058	DODH	N2	0.09275	0.03625
89	sub-001	F4_M1	0.053	0.053	DODH	W	0.1405	0.019
90	sub-001	F4_M1	0.07363297872340425	0.078	DODH	R	0.09725	0.04675
91	sub-001	F4_M1	0.1869850746268657	0.2	DODH	N1	0.2375	0.153
92	sub-001	FP1_M2	0.04816577540106952	0.0415	DODH	N2	0.063	0.026
93	sub-001	FP1_M2	0.054	0.054	DODH	W	0.138	0.023
94	sub-001	FP1_M2	0.034255319148936175	0.0305	DODH	R	0.05125	0.009
95	sub-001	FP1_M2	0.13146268656716414	0.117	DODH	N1	0.179	0.08549999999999999
96	sub-001	FP2_M1	0.061882352941176465	0.055	DODH	N2	0.086	0.032
97	sub-001	FP2_M1	0.046	0.046	DODH	W	0.1215	0.019
98	sub-001	FP2_M1	0.07136702127659575	0.076	DODH	R	0.101	0.03875
99	sub-001	FP2_M1	0.18292537313432836	0.198	DODH	N1	0.238	0.1355
100	sub-001	C3_M2	0.06377005347593584	0.0515	DODH	N2	0.0895	0.027
101	sub-001	C3_M2	0.253	0.253	DODH	W	0.389	0.0315
102	sub-001	C3_M2	0.05604255319148937	0.0495	DODH	R	0.07625	0.01775
103	sub-001	C3_M2	0.17805970149253733	0.179	DODH	N1	0.2195	0.144
104	sub-002	F3_O1	0.11676750700280113	0.112	DODH	N2	0.132	0.095
105	sub-002	F3_O1	0.395	0.395	DODH	W	0.615	0.1465
106	sub-002	F3_O1	0.1788648648648649	0.149	DODH	R	0.228	0.10575
107	sub-002	F3_O1	0.24056666666666665	0.2435	DODH	N1	0.28	0.209
108	sub-002	F3_M2	0.11943977591036414	0.119	DODH	N2	0.136	0.102
109	sub-002	F3_M2	0.195	0.195	DODH	W	0.2825	0.1275
110	sub-002	F3_M2	0.11491891891891894	0.103	DODH	R	0.136	0.081
111	sub-002	F3_M2	0.21261666666666665	0.2125	DODH	N1	0.23725	0.19025
112	sub-002	F4_M1	0.10547058823529411	0.114	DODH	N2	0.137	0.079
113	sub-002	F4_M1	0.132	0.132	DODH	W	0.2005	0.063
114	sub-002	F4_M1	0.10435135135135135	0.0985	DODH	R	0.124	0.082
115	sub-002	F4_M1	0.18191666666666664	0.1885	DODH	N1	0.228	0.164
116	sub-002	FP1_M2	0.11135854341736695	0.126	DODH	N2	0.152	0.067
117	sub-002	FP1_M2	0.143	0.143	DODH	W	0.226	0.0595
118	sub-002	FP1_M2	0.10177702702702703	0.0935	DODH	R	0.12725	0.064
119	sub-002	FP1_M2	0.1484	0.17049999999999998	DODH	N1	0.2015	0.1095
120	sub-002	FP2_M1	0.10580392156862745	0.117	DODH	N2	0.141	0.069
121	sub-002	FP2_M1	0.137	0.137	DODH	W	0.211	0.0765
122	sub-002	FP2_M1	0.10388175675675675	0.097	DODH	R	0.122	0.08
123	sub-002	FP2_M1	0.17331666666666667	0.187	DODH	N1	0.2245	0.14475
124	sub-002	C3_M2	0.11247338935574229	0.117	DODH	N2	0.134	0.093
125	sub-002	C3_M2	0.267	0.267	DODH	W	0.37	0.162
126	sub-002	C3_M2	0.13287500000000002	0.1145	DODH	R	0.158	0.094
127	sub-002	C3_M2	0.21666666666666665	0.22	DODH	N1	0.2535	0.17775
128	sub-003	F3_O1	0.06793406593406594	0.064	DODH	N2	0.085	0.048
129	sub-003	F3_O1	0.058	0.058	DODH	W	0.461	0.032
130	sub-003	F3_O1	0.11721428571428573	0.099	DODH	R	0.13775	0.07225
131	sub-003	F3_O1	0.21334615384615382	0.226	DODH	N1	0.2625	0.1635
132	sub-003	F3_M2	0.06244322344322344	0.058	DODH	N2	0.078	0.045
133	sub-003	F3_M2	0.275	0.275	DODH	W	0.325	0.212
134	sub-003	F3_M2	0.07727272727272726	0.0655	DODH	R	0.088	0.0485
135	sub-003	F3_M2	0.20453846153846156	0.2025	DODH	N1	0.245	0.1545
136	sub-003	F4_M1	0.06476190476190476	0.061	DODH	N2	0.081	0.043
137	sub-003	F4_M1	0.213	0.213	DODH	W	0.26	0.164
138	sub-003	F4_M1	0.07683116883116883	0.07050000000000001	DODH	R	0.09175	0.05225
139	sub-003	F4_M1	0.21678846153846154	0.2145	DODH	N1	0.26175000000000004	0.16425
140	sub-003	FP1_M2	0.04750549450549451	0.043	DODH	N2	0.063	0.029
141	sub-003	FP1_M2	0.127	0.127	DODH	W	0.176	0.094
142	sub-003	FP1_M2	0.06574675324675325	0.055	DODH	R	0.081	0.037
143	sub-003	FP1_M2	0.17253846153846153	0.1585	DODH	N1	0.217	0.102
144	sub-003	FP2_M1	0.05457509157509157	0.051	DODH	N2	0.071	0.036
145	sub-003	FP2_M1	0.125	0.125	DODH	W	0.163	0.089
146	sub-003	FP2_M1	0.06760389610389611	0.062	DODH	R	0.086	0.042
147	sub-003	FP2_M1	0.1912692307692308	0.183	DODH	N1	0.2415	0.13974999999999999
148	sub-003	C3_M2	0.0658058608058608	0.061	DODH	N2	0.077	0.046
149	sub-003	C3_M2	0.35	0.35	DODH	W	0.399	0.295
150	sub-003	C3_M2	0.09700649350649351	0.081	DODH	R	0.1135	0.06325
151	sub-003	C3_M2	0.22619230769230766	0.218	DODH	N1	0.261	0.1995
152	sub-004	F3_O1	0.06491603053435115	0.06	DODH	N2	0.082	0.047
153	sub-004	F3_O1	0.072	0.072	DODH	W	0.0955	0.0445
154	sub-004	F3_O1	0.06890625	0.0645	DODH	R	0.0785	0.058
155	sub-004	F3_O1	0.15583333333333335	0.1495	DODH	N1	0.191	0.10700000000000001
156	sub-004	F3_M2	0.06816412213740458	0.063	DODH	N2	0.08574999999999999	0.047
157	sub-004	F3_M2	0.073	0.073	DODH	W	0.092	0.03475
158	sub-004	F3_M2	0.052375000000000005	0.0505	DODH	R	0.06125	0.042
159	sub-004	F3_M2	0.14320000000000002	0.1455	DODH	N1	0.176	0.107
160	sub-004	F4_M1	0.08008396946564886	0.075	DODH	N2	0.09675	0.058
161	sub-004	F4_M1	0.0805	0.0805	DODH	W	0.109	0.0495
162	sub-004	F4_M1	0.059906249999999994	0.057	DODH	R	0.07	0.048
163	sub-004	F4_M1	0.15823333333333334	0.1735	DODH	N1	0.19275	0.115
164	sub-004	FP1_M2	0.0625648854961832	0.058	DODH	N2	0.08	0.04125
165	sub-004	FP1_M2	0.063	0.063	DODH	W	0.0865	0.031
166	sub-004	FP1_M2	0.0495625	0.048	DODH	R	0.061	0.03675
167	sub-004	FP1_M2	0.1421666666666667	0.1375	DODH	N1	0.17325	0.0895
168	sub-004	FP2_M1	0.05468320610687023	0.053	DODH	N2	0.067	0.038
169	sub-004	FP2_M1	0.064	0.064	DODH	W	0.08574999999999999	0.03425
170	sub-004	FP2_M1	0.043437500000000004	0.0435	DODH	R	0.05725	0.02475
171	sub-004	FP2_M1	0.12466666666666666	0.1135	DODH	N1	0.17275	0.07050000000000001
172	sub-004	C3_M2	0.08576335877862597	0.081	DODH	N2	0.105	0.06225
173	sub-004	C3_M2	0.1025	0.1025	DODH	W	0.12075	0.0625
174	sub-004	C3_M2	0.061625	0.0595	DODH	R	0.074	0.04575
175	sub-004	C3_M2	0.15776666666666667	0.16049999999999998	DODH	N1	0.185	0.1275
176	sub-005	F3_O1	0.06209930715935335	0.06	DODH	N2	0.075	0.045
177	sub-005	F3_O1	0.10200000000000001	0.10200000000000001	DODH	W	0.2265	0.02475
178	sub-005	F3_O1	0.09291803278688524	0.086	DODH	R	0.1025	0.0755
179	sub-005	F3_O1	0.210296875	0.208	DODH	N1	0.2445	0.18325
180	sub-005	F3_M2	0.0531431870669746	0.048	DODH	N2	0.068	0.035
181	sub-005	F3_M2	0.097	0.097	DODH	W	0.14325	0.063
182	sub-005	F3_M2	0.07753005464480876	0.076	DODH	R	0.092	0.062
183	sub-005	F3_M2	0.18610937500000002	0.196	DODH	N1	0.21325	0.16575
184	sub-005	F4_M1	0.047822170900692844	0.042	DODH	N2	0.062	0.03
185	sub-005	F4_M1	0.0225	0.0225	DODH	W	0.075	0.00625
186	sub-005	F4_M1	0.056180327868852464	0.055	DODH	R	0.0685	0.043
187	sub-005	F4_M1	0.13909375000000002	0.1405	DODH	N1	0.17275	0.096
188	sub-005	FP1_M2	0.050175519630484985	0.043	DODH	N2	0.062	0.032
189	sub-005	FP1_M2	0.091	0.091	DODH	W	0.13675	0.05825
190	sub-005	FP1_M2	0.07231693989071039	0.072	DODH	R	0.0905	0.0505
191	sub-005	FP1_M2	0.173734375	0.181	DODH	N1	0.20425	0.1465
192	sub-005	FP2_M1	0.04542494226327946	0.04	DODH	N2	0.056	0.03
193	sub-005	FP2_M1	0.025	0.025	DODH	W	0.08025	0.00625
194	sub-005	FP2_M1	0.04912568306010929	0.048	DODH	R	0.0635	0.0345
195	sub-005	FP2_M1	0.12903125	0.1325	DODH	N1	0.163	0.0925
196	sub-005	C3_M2	0.06255658198614318	0.059	DODH	N2	0.078	0.043
197	sub-005	C3_M2	0.1085	0.1085	DODH	W	0.15625	0.0685
198	sub-005	C3_M2	0.08578142076502733	0.084	DODH	R	0.102	0.065
199	sub-005	C3_M2	0.192015625	0.2005	DODH	N1	0.214	0.1725
200	sub-006	F3_O1	0.049464864864864865	0.045	DODH	N2	0.061	0.031
201	sub-006	F3_O1	0.136	0.136	DODH	W	0.357	0.043
202	sub-006	F3_O1	0.10401418439716312	0.097	DODH	R	0.119	0.078
203	sub-006	F3_O1	0.19371428571428573	0.209	DODH	N1	0.253	0.128
204	sub-006	F3_M2	0.036958558558558556	0.033	DODH	N2	0.045	0.023
205	sub-006	F3_M2	0.094	0.094	DODH	W	0.141	0.066
206	sub-006	F3_M2	0.06733333333333333	0.062	DODH	R	0.076	0.05
207	sub-006	F3_M2	0.14230612244897958	0.151	DODH	N1	0.189	0.086
208	sub-006	F4_M1	0.03512612612612613	0.031	DODH	N2	0.043	0.021
209	sub-006	F4_M1	0.055	0.055	DODH	W	0.091	0.032
210	sub-006	F4_M1	0.06792198581560283	0.064	DODH	R	0.077	0.053
211	sub-006	F4_M1	0.11783673469387755	0.09	DODH	N1	0.196	0.042
212	sub-006	FP1_M2	0.03936936936936937	0.036	DODH	N2	0.0495	0.024
213	sub-006	FP1_M2	0.085	0.085	DODH	W	0.139	0.049
214	sub-006	FP1_M2	0.06392198581560285	0.058	DODH	R	0.072	0.046
215	sub-006	FP1_M2	0.13359183673469385	0.128	DODH	N1	0.18	0.079
216	sub-006	FP2_M1	0.03438198198198198	0.03	DODH	N2	0.043	0.02
217	sub-006	FP2_M1	0.05	0.05	DODH	W	0.083	0.027
218	sub-006	FP2_M1	0.06532624113475177	0.063	DODH	R	0.075	0.05
219	sub-006	FP2_M1	0.10614285714285715	0.086	DODH	N1	0.179	0.037
220	sub-006	C3_M2	0.04950630630630631	0.047	DODH	N2	0.06	0.037
221	sub-006	C3_M2	0.158	0.158	DODH	W	0.213	0.101
222	sub-006	C3_M2	0.11143262411347518	0.106	DODH	R	0.122	0.091
223	sub-006	C3_M2	0.17908163265306123	0.188	DODH	N1	0.226	0.141
224	sub-007	F3_O1	0.05491076115485565	0.052	DODH	N2	0.066	0.037
225	sub-007	F3_O1	0.0765	0.0765	DODH	W	0.354	0.03125
226	sub-007	F3_O1	0.07475862068965518	0.07	DODH	R	0.085	0.058
227	sub-007	F3_O1	0.11364285714285714	0.1065	DODH	N1	0.1375	0.07275
228	sub-007	F3_M2	0.048031496062992125	0.047	DODH	N2	0.063	0.031
229	sub-007	F3_M2	0.1	0.1	DODH	W	0.1435	0.05275
230	sub-007	F3_M2	0.054214559386973185	0.052	DODH	R	0.064	0.042
231	sub-007	F3_M2	0.12860714285714286	0.1115	DODH	N1	0.145	0.084
232	sub-007	F4_M1	0.04397112860892388	0.042	DODH	N2	0.058	0.026
233	sub-007	F4_M1	0.0815	0.0815	DODH	W	0.12075	0.05
234	sub-007	F4_M1	0.05732950191570882	0.054	DODH	R	0.066	0.044
235	sub-007	F4_M1	0.13328571428571429	0.1285	DODH	N1	0.1485	0.075
236	sub-007	FP1_M2	0.04347244094488189	0.042	DODH	N2	0.057	0.027
237	sub-007	FP1_M2	0.048	0.048	DODH	W	0.10725	0.03425
238	sub-007	FP1_M2	0.047137931034482765	0.045	DODH	R	0.057	0.032
239	sub-007	FP1_M2	0.1085	0.096	DODH	N1	0.13475	0.06475
240	sub-007	FP2_M1	0.04464041994750657	0.042	DODH	N2	0.058	0.027
241	sub-007	FP2_M1	0.0375	0.0375	DODH	W	0.0935	0.025500000000000002
242	sub-007	FP2_M1	0.05345977011494253	0.05	DODH	R	0.066	0.038
243	sub-007	FP2_M1	0.11067857142857143	0.1075	DODH	N1	0.139	0.06275
244	sub-007	C3_M2	0.05673490813648294	0.055	DODH	N2	0.072	0.035
245	sub-007	C3_M2	0.158	0.158	DODH	W	0.236	0.0995
246	sub-007	C3_M2	0.0711072796934866	0.067	DODH	R	0.084	0.052
247	sub-007	C3_M2	0.14135714285714288	0.1235	DODH	N1	0.181	0.1025
248	sub-008	F3_O1	0.06929251700680272	0.056	DODH	N2	0.085	0.029
249	sub-008	F3_O1	0.193	0.193	DODH	W	0.59	0.031
250	sub-008	F3_O1	0.0985	0.064	DODH	R	0.126	0.039
251	sub-008	F3_O1	0.12384892086330936	0.126	DODH	N1	0.1645	0.08349999999999999
252	sub-008	F3_M2	0.055662131519274384	0.044	DODH	N2	0.073	0.028
253	sub-008	F3_M2	0.138	0.138	DODH	W	0.364	0.028
254	sub-008	F3_M2	0.06422142857142857	0.043	DODH	R	0.0795	0.022
255	sub-008	F3_M2	0.11190647482014389	0.113	DODH	N1	0.1515	0.0665
256	sub-008	F4_M1	0.06112471655328799	0.051	DODH	N2	0.086	0.023
257	sub-008	F4_M1	0.054	0.054	DODH	W	0.346	0.017
258	sub-008	F4_M1	0.05882857142857143	0.0375	DODH	R	0.07725	0.02075
259	sub-008	F4_M1	0.10951798561151081	0.124	DODH	N1	0.1625	0.05
260	sub-008	FP1_M2	0.045646258503401364	0.037	DODH	N2	0.057	0.022
261	sub-008	FP1_M2	0.111	0.111	DODH	W	0.349	0.028
262	sub-008	FP1_M2	0.06252857142857142	0.043	DODH	R	0.08025	0.02275
263	sub-008	FP1_M2	0.0966474820143885	0.102	DODH	N1	0.14250000000000002	0.045
264	sub-008	FP2_M1	0.0702108843537415	0.065	DODH	N2	0.094	0.038
265	sub-008	FP2_M1	0.089	0.089	DODH	W	0.332	0.021
266	sub-008	FP2_M1	0.06607857142857143	0.044	DODH	R	0.09125	0.02575
267	sub-008	FP2_M1	0.11489928057553957	0.129	DODH	N1	0.16	0.068
268	sub-008	C3_M2	0.08441723356009072	0.068	DODH	N2	0.107	0.049
269	sub-008	C3_M2	0.216	0.216	DODH	W	0.459	0.077
270	sub-008	C3_M2	0.12770714285714288	0.1075	DODH	R	0.15325	0.08125
271	sub-008	C3_M2	0.13184892086330935	0.136	DODH	N1	0.17099999999999999	0.0865
272	sub-009	F3_O1	0.03983095723014257	0.037	DODH	N2	0.052	0.023
273	sub-009	F3_O1	0.033	0.033	DODH	W	0.123	0.008
274	sub-009	F3_O1	0.07138848920863311	0.067	DODH	R	0.081	0.054
275	sub-009	F3_O1	0.15936697247706422	0.171	DODH	N1	0.217	0.081
276	sub-009	F3_M2	0.024602851323828924	0.02	DODH	N2	0.032	0.013
277	sub-009	F3_M2	0.015	0.015	DODH	W	0.048	0.007
278	sub-009	F3_M2	0.05548201438848921	0.053	DODH	R	0.066	0.0395
279	sub-009	F3_M2	0.09974311926605504	0.076	DODH	N1	0.141	0.047
280	sub-009	F4_M1	0.021364562118126276	0.017	DODH	N2	0.029	0.0095
281	sub-009	F4_M1	0.013	0.013	DODH	W	0.031	0.007
282	sub-009	F4_M1	0.040503597122302164	0.037	DODH	R	0.057	0.016
283	sub-009	F4_M1	0.08245871559633029	0.044	DODH	N1	0.132	0.018
284	sub-009	FP1_M2	0.02034826883910387	0.016	DODH	N2	0.025500000000000002	0.011
285	sub-009	FP1_M2	0.012	0.012	DODH	W	0.029	0.006
286	sub-009	FP1_M2	0.04635971223021584	0.041	DODH	R	0.059	0.028
287	sub-009	FP1_M2	0.0763577981651376	0.057	DODH	N1	0.097	0.035
288	sub-009	FP2_M1	0.023759674134419553	0.02	DODH	N2	0.03	0.013
289	sub-009	FP2_M1	0.023	0.023	DODH	W	0.043	0.011
290	sub-009	FP2_M1	0.045122302158273384	0.041	DODH	R	0.06	0.026
291	sub-009	FP2_M1	0.10496330275229358	0.079	DODH	N1	0.155	0.047
292	sub-009	C3_M2	0.03186965376782078	0.028	DODH	N2	0.041	0.019
293	sub-009	C3_M2	0.015	0.015	DODH	W	0.051	0.008
294	sub-009	C3_M2	0.05753237410071942	0.057	DODH	R	0.0665	0.046
295	sub-009	C3_M2	0.10866972477064223	0.092	DODH	N1	0.156	0.049
296	sub-010	F3_O1	0.052431666666666675	0.052	DODH	N2	0.065	0.039
297	sub-010	F3_O1	0.103	0.103	DODH	W	0.167	0.059
298	sub-010	F3_O1	0.08662234042553192	0.087	DODH	R	0.10125	0.068
299	sub-010	F3_O1	0.26615999999999995	0.261	DODH	N1	0.3165	0.2085
300	sub-010	F3_M2	0.049003333333333336	0.046	DODH	N2	0.061	0.035
301	sub-010	F3_M2	0.105	0.105	DODH	W	0.124	0.07
302	sub-010	F3_M2	0.0735159574468085	0.073	DODH	R	0.086	0.057
303	sub-010	F3_M2	0.26388	0.271	DODH	N1	0.31775	0.20725
304	sub-010	F4_M1	0.050278333333333335	0.049	DODH	N2	0.062	0.037
305	sub-010	F4_M1	0.091	0.091	DODH	W	0.116	0.067
306	sub-010	F4_M1	0.07445744680851063	0.072	DODH	R	0.088	0.059
307	sub-010	F4_M1	0.24104	0.251	DODH	N1	0.29125	0.19975
308	sub-010	FP1_M2	0.04570166666666667	0.044	DODH	N2	0.056	0.033
309	sub-010	FP1_M2	0.089	0.089	DODH	W	0.11	0.057
310	sub-010	FP1_M2	0.06471276595744681	0.0635	DODH	R	0.073	0.052
311	sub-010	FP1_M2	0.2288	0.2385	DODH	N1	0.27625	0.169
312	sub-010	FP2_M1	0.042205	0.041	DODH	N2	0.055	0.028
313	sub-010	FP2_M1	0.063	0.063	DODH	W	0.09	0.035
314	sub-010	FP2_M1	0.06479255319148937	0.061	DODH	R	0.07725	0.05
315	sub-010	FP2_M1	0.19898	0.20350000000000001	DODH	N1	0.26675000000000004	0.13
316	sub-010	C3_M2	0.05617666666666666	0.054	DODH	N2	0.06625	0.044
317	sub-010	C3_M2	0.146	0.146	DODH	W	0.173	0.117
318	sub-010	C3_M2	0.07610106382978722	0.075	DODH	R	0.087	0.064
319	sub-010	C3_M2	0.26905999999999997	0.2755	DODH	N1	0.30774999999999997	0.2225
320	sub-00001	EEG	0.09339	0.088	SHHS1	N2	0.113	0.066
321	sub-00001	EEG	0.044	0.044	SHHS1	W	0.099	0.019
322	sub-00001	EEG	0.08909345794392522	0.088	SHHS1	R	0.1085	0.059
323	sub-00001	EEG	0.13585106382978726	0.139	SHHS1	N1	0.1795	0.0945
324	sub-00001	EEG(sec)	0.062542	0.06	SHHS1	N2	0.087	0.033
325	sub-00001	EEG(sec)	0.044	0.044	SHHS1	W	0.103	0.032
326	sub-00001	EEG(sec)	0.07813084112149533	0.076	SHHS1	R	0.097	0.0525
